"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

201904,59922.45967,201904,104053.16085,201904,60580.927,201904,27820.1768,201904,28853.78928,201904,788.04505,201904,6752.27638,201904,1254.00337,201904,2807.17521,201904,947.68212,201904,1509.56995,201904,1014.99643
201903,78351.57142,201903,115806.07243,201903,65079.691,201903,26333.98533,201903,25677.44584,201903,826.68483,201903,5898.62563,201903,1422.49852,201903,3216.63766,201903,1085.54793,201903,1624.59337,201903,1080.18366
201902,79929.40867,201902,112135.47266,201902,64714.894,201902,22880.53778,201902,22546.56459,201902,822.08938,201902,3835.77281,201902,1292.57815,201902,3042.25273,201902,947.63357,201902,1497.71004,201902,1002.93517
201901,100904.70457,201901,121581.77667,201901,73700.844,201901,24797.80842,201901,24248.34829,201901,1420.47907,201901,3580.20841,201901,1389.93655,201901,3465.28412,201901,1024.67624,201901,1672.24787,201901,1193.65037
201812,100318.60014,201812,109801.97563,201812,71657.288,201812,22797.16131,201812,24306.28369,201812,966.24203,201812,3109.63979,201812,1446.08137,201812,3404.05372,201812,1120.49864,201812,1799.2865,201812,1139.2941
201811,92818.59372,201811,108167.63501,201811,63954.37,201811,21912.71643,201811,22015.7339,201811,1005.52022,201811,3742.76491,201811,1330.84363,201811,3263.57095,201811,1045.11949,201811,1724.29467,201811,1074.58785
201810,87263.62736,201810,123142.23947,201810,59396.905,201810,19548.19092,201810,21193.89801,201810,1014.53529,201810,4969.69097,201810,1273.09029,201810,3215.94376,201810,1016.00199,201810,1743.38631,201810,1084.46247
201809,96543.99239,201809,141785.5277,201809,64724.753,201809,19165.6208,201809,18519.67063,201809,1054.89646,201809,5960.90148,201809,1327.90769,201809,3280.61644,201809,1104.35846,201809,1589.55751,201809,1004.47976
201808,115129.45572,201808,161676.24102,201808,72282.467,201808,22016.90536,201808,19846.43699,201808,1047.29781,201808,6695.40796,201808,1367.05504,201808,3629.80164,201808,1301.00239,201808,1757.51914,201808,1145.99343
201807,115376.37644,201807,164749.06024,201807,72456.009,201807,25099.52896,201807,16446.57439,201807,988.45058,201807,6754.8758,201807,1369.6113,201807,3749.45617,201807,1171.61965,201807,1750.03112,201807,1110.63752
201806,101503.42674,201806,130826.39996,201806,69687.556,201806,27597.48847,201806,24702.85593,201806,1066.26764,201806,7414.66701,201806,1299.83478,201806,3470.74859,201806,1091.25976,201806,1719.99503,201806,1104.28525
201805,85227.3,201805,115283.9823,201805,67320.248,201805,30444.28385,201805,23953.12766,201805,1040.29757,201805,6849.01231,201805,1382.62025,201805,3351.71509,201805,1167.26417,201805,1731.56179,201805,1069.76803
201804,73346.00643,201804,98371.08027,201804,59133.155,201804,28115.15452,201804,26430.85718,201804,872.49843,201804,6056.72671,201804,1187.93664,201804,3101.86989,201804,1098.51108,201804,1725.69768,201804,1028.06366
201803,80625.66254,201803,106523.77987,201803,67032.656,201803,25860.604,201803,26463.70391,201803,829.70515,201803,5056.23832,201803,1366.75303,201803,3547.44236,201803,1158.37002,201803,1821.76353,201803,1108.10218
201802,82050.18241,201802,98511.85154,201802,64790.03,201802,24902.25758,201802,23189.48924,201802,803.92429,201802,3896.41408,201802,1274.09258,201802,3234.95066,201802,1092.12141,201802,1716.06421,201802,994.2799
201801,119284.11471,201801,110292.90908,201801,74649.04,201801,25064.07663,201801,25598.8222,201801,5555.29925,201801,3318.97521,201801,1341.30742,201801,3685.98967,201801,1096.6219,201801,1816.60719,201801,1109.24955
201712,106545.36665,201712,111397.79204,201712,73699.572,201712,22247.84164,201712,22200.68098,201712,1958.20163,201712,3035.00469,201712,1380.90954,201712,3733.61332,201712,1095.02378,201712,1895.89813,201712,1144.70695
201711,90986.33924,201711,94928.34076,201711,66617.853,201711,19888.33402,201711,22614.8668,201711,914.62724,201711,3208.74868,201711,1304.68441,201711,3426.08503,201711,1001.04105,201711,1804.84134,201711,1079.45652
201710,89775.52365,201710,106826.27512,201710,65994.785,201710,17698.17945,201710,24368.70291,201710,973.3093,201710,4649.67321,201710,1214.12407,201710,3303.26294,201710,998.16655,201710,1727.85298,201710,1030.73986
201709,98202.04611,201709,118035.85224,201709,68097.918,201709,19151.75538,201709,17911.77474,201709,931.18977,201709,5059.44137,201709,1331.50304,201709,3291.75095,201709,1059.44268,201709,1702.54554,201709,1033.92409
201708,119488.38491,201708,141201.1381,201708,72384.218,201708,22033.85574,201708,13878.84827,201708,968.43419,201708,5368.53677,201708,1362.99613,201708,3750.56837,201708,1133.2602,201708,1824.89132,201708,1217.00936
201707,127697.82032,201707,146929.43853,201707,71314.219,201707,26598.24651,201707,16119.99604,201707,920.16782,201707,5569.10622,201707,1372.704,201707,3702.89598,201707,1047.48826,201707,1823.77942,201707,1206.67922
201706,107508.32219,201706,117235.70085,201706,67010.782,201706,30575.29559,201706,20141.74696,201706,991.37188,201706,6115.379,201706,1283.74953,201706,3437.01072,201706,992.97613,201706,1796.52027,201706,1099.17566
201705,92776.54135,201705,98019.31124,201705,61312.753,201705,32607.11514,201705,23067.63856,201705,969.91291,201705,5785.02726,201705,1301.85842,201705,3188.45369,201705,1055.75167,201705,1849.79647,201705,1088.66435
201704,81335.3131,201704,88455.10059,201704,56743.352,201704,29409.46563,201704,25377.94296,201704,859.65312,201704,4906.67802,201704,1341.22069,201704,3146.37597,201704,1001.36048,201704,1741.68992,201704,1050.15176
201703,89364.62027,201703,95073.66171,201703,65093.2,201703,29613.19463,201703,25730.61672,201703,956.48727,201703,4514.08465,201703,1387.18475,201703,3455.80207,201703,1060.24753,201703,1847.56888,201703,1061.11381
201702,86822.18986,201702,82767.65084,201702,63560.371,201702,23881.76459,201702,22091.10927,201702,868.83817,201702,2751.19905,201702,1238.87247,201702,3185.52143,201702,977.64447,201702,1697.11833,201702,992.25861
201701,115332.80828,201701,95572.22908,201701,73120.612,201701,26627.88134,201701,20798.77101,201701,1101.91257,201701,2323.98616,201701,1406.96716,201701,3502.17798,201701,1046.56389,201701,1897.39109,201701,1092.23638
201612,118746.8419,201612,96363.59628,201612,71662.429,201612,22527.76456,201612,23145.52474,201612,1166.03851,201612,2423.52344,201612,1453.88363,201612,3615.44862,201612,1037.46174,201612,1944.49218,201612,1139.07339
201611,86940.46241,201611,93941.8345,201611,65178.776,201611,18808.26528,201611,19405.64211,201611,1070.37857,201611,2767.14449,201611,1363.84969,201611,3391.22211,201611,1013.32614,201611,1891.24862,201611,1097.82305
201610,99193.94367,201610,102897.98607,201610,60733.343,201610,17338.85654,201610,20335.38978,201610,936.61507,201610,3191.22418,201610,1353.16742,201610,3176.08278,201610,913.24353,201610,1693.10388,201610,1108.21549
201609,114137.76825,201609,125602.73981,201609,65448.176,201609,16367.68403,201609,16403.64017,201609,946.13586,201609,3635.06928,201609,1326.67585,201609,3407.35783,201609,1020.32852,201609,1756.63635,201609,1167.60738
201608,135634.73331,201608,154759.67321,201608,71526.405,201608,19569.54914,201608,13589.32615,201608,1257.56542,201608,3969.18623,201608,1324.26364,201608,3722.23578,201608,1063.9224,201608,1860.30939,201608,1247.81269
201607,136316.43397,201607,151553.87196,201607,70349.347,201607,21455.32093,201607,17618.35712,201607,1272.71474,201607,3944.79289,201607,1311.2153,201607,3657.69796,201607,1076.85183,201607,1840.40814,201607,1224.98977
201606,116034.38414,201606,131395.22913,201606,67175.324,201606,23236.86739,201606,16303.4413,201606,972.19923,201606,3473.49784,201606,1251.39266,201606,3413.56266,201606,1043.21891,201606,1794.4663,201606,1180.32522
201605,81694.51025,201605,110430.1923,201605,66576.493,201605,25486.38143,201605,18847.89867,201605,984.3906,201605,3425.18345,201605,1341.84042,201605,3187.12753,201605,1053.31653,201605,1909.01094,201605,1195.06526
201604,72112.8619,201604,98875.9473,201604,62731.845,201604,25878.02878,201604,20799.30345,201604,832.99966,201604,2879.68187,201604,1208.96984,201604,2967.00477,201604,1132.00071,201604,1811.48461,201604,1109.25009
201603,72172.52681,201603,103889.93756,201603,66148.894,201603,27389.8772,201603,21939.40933,201603,874.26186,201603,2617.45225,201603,1315.15866,201603,3402.83315,201603,1197.35327,201603,1809.21776,201603,1089.9328
201602,92704.80797,201602,98552.17908,201602,65638.141,201602,24139.01548,201602,20138.2278,201602,1299.20355,201602,2241.56342,201602,1243.38381,201602,3406.39038,201602,1061.55823,201602,1708.30281,201602,1041.08596
201601,113459.37975,201601,110043.74673,201601,72524.775,201601,25614.54233,201601,18466.40151,201601,1395.75127,201601,1485.80182,201601,1332.00609,201601,3600.26359,201601,1194.84991,201601,1794.54991,201601,1153.05412
201512,89495.07284,201512,109776.67885,201512,69633.664,201512,23165.56195,201512,20098.37277,201512,947.54537,201512,1569.89498,201512,1376.98847,201512,3587.39081,201512,1109.8178,201512,1969.25568,201512,1228.28355
201511,87227.13603,201511,102236.25483,201511,60263.941,201511,19337.83088,201511,19681.71564,201511,994.58397,201511,1729.6613,201511,1333.62825,201511,3417.87318,201511,901.6693,201511,1901.94337,201511,1197.00215
201510,96758.50415,201510,110005.03903,201510,60570.921,201510,16630.40155,201510,16380.03853,201510,944.53178,201510,1909.57979,201510,1323.03223,201510,3252.21575,201510,906.47772,201510,1843.15554,201510,1204.44916
201509,117985.6322,201509,123035.92238,201509,66476.372,201509,16094.1224,201509,13971.56651,201509,1006.21885,201509,2217.1241,201509,1202.86145,201509,3450.34084,201509,1210.1203,201509,1805.48749,201509,1181.83494
201508,134670.3089,201508,139083.7544,201508,72415.352,201508,19122.10511,201508,13080.02756,201508,1092.74186,201508,2687.55324,201508,1344.14271,201508,3788.24122,201508,1195.57794,201508,1921.42752,201508,1300.3837
201507,139099.86855,201507,141119.08134,201507,71412.176,201507,21014.22144,201507,13675.44937,201507,1200.80032,201507,2627.06355,201507,1356.72712,201507,3806.47852,201507,1235.44328,201507,1988.77809,201507,1292.80287
201506,125673.11366,201506,121477.74922,201506,68516.165,201506,20414.084,201506,13421.26619,201506,1039.98424,201506,2557.5982,201506,1301.60767,201506,3496.10312,201506,1117.6088,201506,1784.07775,201506,1187.14227
201505,104584.52668,201505,101516.3545,201505,65826.525,201505,20125.4156,201505,17151.34131,201505,1017.19831,201505,2504.14881,201505,1390.15094,201505,3337.80784,201505,1098.72535,201505,1798.75605,201505,1184.59449
201504,88989.1425,201504,92805.99824,201504,59784.495,201504,22470.97723,201504,17867.14921,201504,918.52707,201504,2379.11811,201504,1272.42782,201504,3246.40512,201504,979.33349,201504,1729.2561,201504,1095.76849
201503,108487.53856,201503,99422.71998,201503,64546.799,201503,24280.90476,201503,15307.92894,201503,1061.37309,201503,2072.25703,201503,1393.99435,201503,3456.8391,201503,1090.60128,201503,1712.28837,201503,1050.83599
201502,126976.83198,201502,91315.16471,201502,63461.493,201502,22286.07601,201502,14921.54534,201502,5220.63559,201502,1483.55386,201502,1260.09914,201502,3371.94187,201502,1024.97999,201502,1524.17597,201502,985.12324
201501,132450.52066,201501,101687.39262,201501,74269.974,201501,24138.3839,201501,15162.14633,201501,1927.3721,201501,1155.35063,201501,1361.91486,201501,3716.86817,201501,1246.34298,201501,1724.76993,201501,1119.5865
