"Series Key",ELEC.PRICE.US-ALL.M,"Series Key",ELEC.PRICE.US-RES.M,"Series Key",ELEC.PRICE.US-COM.M,"Series Key",ELEC.PRICE.US-IND.M
"Series Name","Average retail price of electricity : United States : all sectors : monthly","Series Name","Average retail price of electricity : United States : residential : monthly","Series Name","Average retail price of electricity : United States : commercial : monthly","Series Name","Average retail price of electricity : United States : industrial : monthly"
Units,"cents per kilowatthour",Units,"cents per kilowatthour",Units,"cents per kilowatthour",Units,"cents per kilowatthour"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

201206,10.13,201206,12.09,201206,10.39,201206,6.89
201205,9.64,201205,11.9,201205,9.96,201205,6.53
201204,9.47,201204,11.92,201204,9.82,201204,6.38
201203,9.52,201203,11.7,201203,9.84,201203,6.46
201202,9.58,201202,11.51,201202,9.94,201202,6.45
201201,9.61,201201,11.41,201201,9.84,201201,6.44
201112,9.53,201112,11.4,201112,9.77,201112,6.51
201111,9.58,201111,11.78,201111,9.98,201111,6.53
201110,9.83,201110,12.08,201110,10.25,201110,6.77
201109,10.29,201109,12.17,201109,10.59,201109,7.15
201108,10.49,201108,12.09,201108,10.72,201108,7.39
201107,10.47,201107,12.09,201107,10.67,201107,7.32
201106,10.26,201106,11.97,201106,10.66,201106,7.14
201105,9.78,201105,11.93,201105,10.19,201105,6.68
201104,9.54,201104,11.67,201104,9.96,201104,6.53
201103,9.55,201103,11.52,201103,9.93,201103,6.53
201102,9.56,201102,11.06,201102,9.99,201102,6.63
201101,9.48,201101,10.87,201101,9.78,201101,6.53
201012,9.52,201012,11.06,201012,9.82,201012,6.6
201011,9.55,201011,11.62,201011,9.99,201011,6.56
201010,9.81,201010,11.86,201010,10.25,201010,6.8
201009,10.17,201009,11.95,201009,10.52,201009,7
201008,10.4,201008,12.03,201008,10.62,201008,7.22
201007,10.46,201007,12.04,201007,10.72,201007,7.23
201006,10.18,201006,11.91,201006,10.56,201006,6.97
201005,9.72,201005,11.91,201005,10.15,201005,6.64
201004,9.53,201004,11.71,201004,9.95,201004,6.55
201003,9.48,201003,11.11,201003,9.95,201003,6.53
201002,9.47,201002,10.89,201002,9.89,201002,6.55
201001,9.28,201001,10.49,201001,9.55,201001,6.5
200912,9.4,200912,10.9,200912,9.7,200912,6.54
200911,9.34,200911,11.26,200911,9.78,200911,6.4
200910,9.7,200910,11.65,200910,10.13,200910,6.7
200909,10.09,200909,11.96,200909,10.45,200909,6.89
200908,10.27,200908,11.94,200908,10.52,200908,7.1
200907,10.28,200907,11.85,200907,10.56,200907,7.1
200906,10.13,200906,11.81,200906,10.46,200906,7.09
200905,9.77,200905,11.78,200905,10.11,200905,6.77
200904,9.57,200904,11.5,200904,9.87,200904,6.75
200903,9.64,200903,11.28,200903,9.96,200903,6.81
200902,9.78,200902,11.18,200902,10.2,200902,6.9
200901,9.68,200901,10.98,200901,9.96,200901,6.92
200812,9.53,200812,10.86,200812,9.92,200812,6.79
200811,9.67,200811,11.42,200811,10.16,200811,6.93
200810,9.94,200810,11.81,200810,10.41,200810,7.19
200809,10.27,200809,11.92,200809,10.77,200809,7.31
200808,10.59,200808,12.09,200808,11.07,200808,7.55
200807,10.65,200807,12.07,200807,11.1,200807,7.72
200806,10.27,200806,11.77,200806,10.87,200806,7.35
200805,9.47,200805,11.4,200805,10.05,200805,6.75
200804,9.22,200804,10.93,200804,9.79,200804,6.64
200803,9.03,200803,10.45,200803,9.62,200803,6.46
200802,8.9,200802,10.16,200802,9.46,200802,6.34
200801,8.92,200801,10.14,200801,9.39,200801,6.33
200712,8.91,200712,10.33,200712,9.42,200712,6.26
200711,8.94,200711,10.7,200711,9.5,200711,6.28
200710,9.17,200710,10.82,200710,9.77,200710,6.46
200709,9.43,200709,10.96,200709,9.9,200709,6.52
200708,9.68,200708,11.07,200708,10.07,200708,6.84
200707,9.64,200707,11.07,200707,10.14,200707,6.71
200706,9.45,200706,11.09,200706,9.95,200706,6.59
200705,8.96,200705,10.77,200705,9.51,200705,6.27
200704,8.82,200704,10.63,200704,9.38,200704,6.19
